Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-MAY-2019,2845.2,2863.3,2767,2778.4,90068380,1556.29
14-MAY-2019,2801.5,2852.15,2787.95,2837.9,124242089,2206.38
13-MAY-2019,2862.6,2868.3,2805.5,2820.85,69842092,1506.1
10-MAY-2019,2928.95,2944.2,2855.05,2872.5,116341181,2910.68
09-MAY-2019,2959.45,2973,2905.1,2917.1,75203817,1358.83
08-MAY-2019,2968.9,2991.1,2949,2959.5,91165223,1599.86
07-MAY-2019,3042,3061.85,2972.25,2980.4,78305970,1415.1
06-MAY-2019,3011.75,3034.3,3004.75,3018.75,77267042,1539.1
03-MAY-2019,3090.45,3096.8,3068.25,3081.25,65227022,1186.28
02-MAY-2019,3078.45,3108.95,3063.9,3085.5,80273337,1691.59
30-APR-2019,3048.9,3099.45,2996.4,3089.1,117468859,2262.82
26-APR-2019,3016.95,3073,3007.25,3046.65,136936099,3486.24
25-APR-2019,3044.4,3060.9,2985,2991.1,89501642,1704.95
24-APR-2019,3050.35,3057.3,3009.3,3047.75,86510330,1566.17
23-APR-2019,3054.75,3077.85,3038.65,3042,65943741,1106.17
22-APR-2019,3105.65,3113.05,3048.25,3054.1,68977745,1167.08
18-APR-2019,3155.55,3158.3,3085.4,3109.85,95808893,1633.7
16-APR-2019,3154.45,3177.4,3143.7,3149.9,135304023,2932.13
15-APR-2019,3090.7,3152.95,3087.8,3141.35,94034922,1778.88
12-APR-2019,3072.55,3083.8,3050.7,3071.6,60047587,1062.11
11-APR-2019,3099.4,3110.3,3058.45,3067.45,79431691,1357.97
10-APR-2019,3121.25,3156.35,3098.7,3105.2,90987829,1678.39
09-APR-2019,3105.25,3139.7,3069.65,3133.65,78803264,1381.4
08-APR-2019,3153.8,3162.2,3092.75,3101.7,85426172,1583.82
05-APR-2019,3082.1,3140.05,3073.45,3132.35,91462167,1582
04-APR-2019,3082.9,3091.35,3052.3,3071.9,93270209,1302.53
03-APR-2019,3106.4,3135.35,3077.7,3085,106223165,1754.21
02-APR-2019,3122.85,3122.85,3072.1,3089.1,88241720,1459.9
