Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-MAY-2019,287.2,287.55,282.85,284.6,17552453,340.41
29-MAY-2019,286.5,286.8,283.05,284.95,14182628,323.05
28-MAY-2019,287.15,287.4,282.9,286.55,20088668,471.88
27-MAY-2019,280.35,288.1,280.1,286.2,23118956,501.73
24-MAY-2019,270.25,280.95,269.75,280.1,41139849,739.13
23-MAY-2019,270.95,276.4,266.7,268.2,34638869,630.42
22-MAY-2019,268.3,272.05,265.95,266.95,29832595,535.37
21-MAY-2019,267.75,269.7,263.95,265.95,19212360,367.17
20-MAY-2019,260.15,268.05,259.05,267,24578025,445.87
17-MAY-2019,252.05,255.65,251.4,252.55,13092614,220.11
16-MAY-2019,250.55,252.85,248.7,251.85,22786339,339.39
15-MAY-2019,249.5,251.05,247.2,249.1,13108396,229.67
14-MAY-2019,245.5,249.55,242.15,248.3,15216646,263.09
13-MAY-2019,250.2,251.45,245.45,246.4,12535636,241.98
10-MAY-2019,252.8,255.2,250.35,251.2,12995186,252.87
09-MAY-2019,249.9,253.05,248.7,251.2,14435538,243.23
08-MAY-2019,254.75,255.4,249.1,250.35,17311159,289.77
07-MAY-2019,260.15,261.35,255.2,255.75,15708297,272.61
06-MAY-2019,259.85,261.75,257.9,258.8,11077362,211.6
03-MAY-2019,260,263.55,259.85,262.65,21238986,409.92
02-MAY-2019,257.6,260.15,256.9,258.6,18589713,357.03
30-APR-2019,263.7,263.7,255.9,258.3,35372877,670.53
26-APR-2019,268.05,268.65,263.55,264.4,38515266,640.48
25-APR-2019,265.9,268.1,264.9,265.7,75166678,1227.48
24-APR-2019,263.95,265.7,262.9,264.85,42799474,588.59
23-APR-2019,264.5,266.9,262.15,263.15,19183516,333.44
22-APR-2019,269.4,269.65,263,263.7,33699112,510.43
18-APR-2019,277.75,278.1,268.45,270.4,22776677,423.4
16-APR-2019,281.8,282.9,276.55,277.45,30153570,532.76
15-APR-2019,277.15,281,277.15,280.25,27759143,585.8
12-APR-2019,274.7,277.5,274.5,275.7,36555517,684.16
11-APR-2019,277.4,280.7,274.1,274.85,51373653,853.93
10-APR-2019,273.25,281.45,272.6,276.85,64930769,1078.71
09-APR-2019,270.15,274.45,268.05,273.75,56229151,906.82
08-APR-2019,277.5,278.15,268.95,269.95,130545006,2459.97
05-APR-2019,273.6,278.4,273.25,276,23662126,712.55
04-APR-2019,273.9,275.15,269.55,272.4,19664656,476.17
03-APR-2019,273.9,279.55,271.5,272.6,41107720,1074.23
02-APR-2019,270.05,274.95,268.85,273.4,27779500,818.2
